Year,Composite breakdown,Value
2000,,0.09
2001,,0.0
2002,,0.0
2003,,0.33
2004,,123.3
2005,,45.17
2006,,0.01
2007,,51.48
2008,,0.29
2009,,37.65
2010,,716.24
2011,,561.54
2012,,153.19
2013,,16.68
2014,,894.79
2015,,297.23
2016,,668.55
2017,,170.71
2018,,220.73
2019,,246.63
2020,,38.33
2021,,107.45
2022,,122.67
2023,,158.03
2000,Type of renewable technology: Bioenergy,0.0
2001,Type of renewable technology: Bioenergy,0.0
2002,Type of renewable technology: Bioenergy,0.0
2003,Type of renewable technology: Bioenergy,0.0
2004,Type of renewable technology: Bioenergy,0.0
2005,Type of renewable technology: Bioenergy,0.0
2006,Type of renewable technology: Bioenergy,0.0
2007,Type of renewable technology: Bioenergy,0.0
2008,Type of renewable technology: Bioenergy,0.25
2009,Type of renewable technology: Bioenergy,0.34
2010,Type of renewable technology: Bioenergy,0.2
2011,Type of renewable technology: Bioenergy,0.0
2012,Type of renewable technology: Bioenergy,0.0
2013,Type of renewable technology: Bioenergy,0.0
2014,Type of renewable technology: Bioenergy,0.4
2015,Type of renewable technology: Bioenergy,0.0
2016,Type of renewable technology: Bioenergy,0.0
2017,Type of renewable technology: Bioenergy,12.38
2018,Type of renewable technology: Bioenergy,2.49
2019,Type of renewable technology: Bioenergy,1.11
2020,Type of renewable technology: Bioenergy,0.06
2021,Type of renewable technology: Bioenergy,0.07
2022,Type of renewable technology: Bioenergy,0.01
2023,Type of renewable technology: Bioenergy,0.0
2000,Type of renewable technology: Geothermal energy,0.04
2001,Type of renewable technology: Geothermal energy,0.0
2002,Type of renewable technology: Geothermal energy,0.0
2003,Type of renewable technology: Geothermal energy,0.0
2004,Type of renewable technology: Geothermal energy,45.41
2005,Type of renewable technology: Geothermal energy,45.06
2006,Type of renewable technology: Geothermal energy,0.0
2007,Type of renewable technology: Geothermal energy,0.0
2008,Type of renewable technology: Geothermal energy,0.0
2009,Type of renewable technology: Geothermal energy,28.67
2010,Type of renewable technology: Geothermal energy,674.4
2011,Type of renewable technology: Geothermal energy,403.8
2012,Type of renewable technology: Geothermal energy,1.95
2013,Type of renewable technology: Geothermal energy,0.0
2014,Type of renewable technology: Geothermal energy,101.45
2015,Type of renewable technology: Geothermal energy,0.0
2016,Type of renewable technology: Geothermal energy,414.6
2017,Type of renewable technology: Geothermal energy,0.92
2018,Type of renewable technology: Geothermal energy,77.93
2019,Type of renewable technology: Geothermal energy,37.36
2020,Type of renewable technology: Geothermal energy,0.0
2021,Type of renewable technology: Geothermal energy,79.21
2022,Type of renewable technology: Geothermal energy,0.2
2023,Type of renewable technology: Geothermal energy,44.51
2000,Type of renewable technology: Hydropower,0.0
2001,Type of renewable technology: Hydropower,0.0
2002,Type of renewable technology: Hydropower,0.0
2003,Type of renewable technology: Hydropower,0.0
2004,Type of renewable technology: Hydropower,77.79
2005,Type of renewable technology: Hydropower,0.0
2006,Type of renewable technology: Hydropower,0.0
2007,Type of renewable technology: Hydropower,42.59
2008,Type of renewable technology: Hydropower,0.0
2009,Type of renewable technology: Hydropower,0.0
2010,Type of renewable technology: Hydropower,0.0
2011,Type of renewable technology: Hydropower,1.54
2012,Type of renewable technology: Hydropower,0.0
2013,Type of renewable technology: Hydropower,0.0
2014,Type of renewable technology: Hydropower,0.0
2015,Type of renewable technology: Hydropower,46.45
2016,Type of renewable technology: Hydropower,0.12
2017,Type of renewable technology: Hydropower,1.33
2018,Type of renewable technology: Hydropower,0.0
2019,Type of renewable technology: Hydropower,28.46
2020,Type of renewable technology: Hydropower,0.0
2021,Type of renewable technology: Hydropower,0.22
2022,Type of renewable technology: Hydropower,0.05
2023,Type of renewable technology: Hydropower,0.03
2000,Type of renewable technology: Marine energy,0.0
2001,Type of renewable technology: Marine energy,0.0
2002,Type of renewable technology: Marine energy,0.0
2003,Type of renewable technology: Marine energy,0.0
2004,Type of renewable technology: Marine energy,0.0
2005,Type of renewable technology: Marine energy,0.0
2006,Type of renewable technology: Marine energy,0.0
2007,Type of renewable technology: Marine energy,0.0
2008,Type of renewable technology: Marine energy,0.0
2009,Type of renewable technology: Marine energy,0.0
2010,Type of renewable technology: Marine energy,0.0
2011,Type of renewable technology: Marine energy,0.0
2012,Type of renewable technology: Marine energy,0.0
2013,Type of renewable technology: Marine energy,0.0
2014,Type of renewable technology: Marine energy,0.0
2015,Type of renewable technology: Marine energy,0.0
2016,Type of renewable technology: Marine energy,0.0
2017,Type of renewable technology: Marine energy,0.0
2018,Type of renewable technology: Marine energy,0.0
2019,Type of renewable technology: Marine energy,0.0
2020,Type of renewable technology: Marine energy,0.0
2021,Type of renewable technology: Marine energy,0.0
2022,Type of renewable technology: Marine energy,0.0
2023,Type of renewable technology: Marine energy,0.0
2000,Type of renewable technology: Multiple renewables,0.05
2001,Type of renewable technology: Multiple renewables,0.0
2002,Type of renewable technology: Multiple renewables,0.0
2003,Type of renewable technology: Multiple renewables,0.0
2004,Type of renewable technology: Multiple renewables,0.07
2005,Type of renewable technology: Multiple renewables,0.0
2006,Type of renewable technology: Multiple renewables,0.01
2007,Type of renewable technology: Multiple renewables,8.59
2008,Type of renewable technology: Multiple renewables,0.05
2009,Type of renewable technology: Multiple renewables,0.22
2010,Type of renewable technology: Multiple renewables,40.74
2011,Type of renewable technology: Multiple renewables,154.08
2012,Type of renewable technology: Multiple renewables,2.06
2013,Type of renewable technology: Multiple renewables,11.48
2014,Type of renewable technology: Multiple renewables,5.13
2015,Type of renewable technology: Multiple renewables,87.38
2016,Type of renewable technology: Multiple renewables,23.98
2017,Type of renewable technology: Multiple renewables,50.51
2018,Type of renewable technology: Multiple renewables,10.98
2019,Type of renewable technology: Multiple renewables,20.73
2020,Type of renewable technology: Multiple renewables,2.11
2021,Type of renewable technology: Multiple renewables,10.19
2022,Type of renewable technology: Multiple renewables,3.99
2023,Type of renewable technology: Multiple renewables,14.88
2000,Type of renewable technology: Solar energy,0.01
2001,Type of renewable technology: Solar energy,0.0
2002,Type of renewable technology: Solar energy,0.0
2003,Type of renewable technology: Solar energy,0.33
2004,Type of renewable technology: Solar energy,0.0
2005,Type of renewable technology: Solar energy,0.0
2006,Type of renewable technology: Solar energy,0.0
2007,Type of renewable technology: Solar energy,0.3
2008,Type of renewable technology: Solar energy,0.0
2009,Type of renewable technology: Solar energy,0.09
2010,Type of renewable technology: Solar energy,0.9
2011,Type of renewable technology: Solar energy,0.0
2012,Type of renewable technology: Solar energy,132.09
2013,Type of renewable technology: Solar energy,0.22
2014,Type of renewable technology: Solar energy,0.08
2015,Type of renewable technology: Solar energy,161.21
2016,Type of renewable technology: Solar energy,214.04
2017,Type of renewable technology: Solar energy,91.38
2018,Type of renewable technology: Solar energy,71.66
2019,Type of renewable technology: Solar energy,158.92
2020,Type of renewable technology: Solar energy,36.16
2021,Type of renewable technology: Solar energy,17.73
2022,Type of renewable technology: Solar energy,118.15
2023,Type of renewable technology: Solar energy,98.6
2000,Type of renewable technology: Wind energy,0.0
2001,Type of renewable technology: Wind energy,0.0
2002,Type of renewable technology: Wind energy,0.0
2003,Type of renewable technology: Wind energy,0.0
2004,Type of renewable technology: Wind energy,0.03
2005,Type of renewable technology: Wind energy,0.11
2006,Type of renewable technology: Wind energy,0.0
2007,Type of renewable technology: Wind energy,0.0
2008,Type of renewable technology: Wind energy,0.0
2009,Type of renewable technology: Wind energy,8.34
2010,Type of renewable technology: Wind energy,0.0
2011,Type of renewable technology: Wind energy,2.12
2012,Type of renewable technology: Wind energy,17.08
2013,Type of renewable technology: Wind energy,4.98
2014,Type of renewable technology: Wind energy,787.74
2015,Type of renewable technology: Wind energy,2.2
2016,Type of renewable technology: Wind energy,15.81
2017,Type of renewable technology: Wind energy,14.2
2018,Type of renewable technology: Wind energy,57.66
2019,Type of renewable technology: Wind energy,0.04
2020,Type of renewable technology: Wind energy,0.0
2021,Type of renewable technology: Wind energy,0.03
2022,Type of renewable technology: Wind energy,0.25
2023,Type of renewable technology: Wind energy,0.0
